word, tf, df
金, 2144, 679
元, 1184, 379
匯率, 1019, 287
訴訟, 964, 240
產品, 853, 354
實, 675, 359
市場, 627, 354
膨脹, 516, 224
通貨膨脹, 504, 222
集中, 486, 251
科技, 478, 274
技術, 406, 180
價格, 393, 279
避險, 321, 185
擴充, 310, 245
併購, 304, 229
生產, 296, 167
銀, 290, 151
證券, 286, 192
稅, 283, 73
外匯, 271, 156
需求, 269, 191
借款, 263, 144
執行, 251, 144
外幣, 229, 118
競爭, 218, 133
實質, 205, 170
原料, 181, 120
美元, 181, 84
設備, 171, 94
標的, 165, 138
經濟, 148, 96
專利, 132, 28
負債, 132, 77
維持, 131, 112
美金, 127, 76
油, 123, 62
外銷, 110, 81
產能, 106, 52
鋼, 105, 32
環境, 97, 72
安全, 97, 64
合併, 97, 29
創新, 96, 71
材料, 95, 60
消費, 93, 67
人員, 88, 63
損害, 87, 30
被告, 77, 17
財務狀況, 77, 63
責任, 76, 50
衍生性金融商品, 73, 60
圓, 71, 35
品牌, 63, 35
損害賠償, 60, 23
發行, 58, 44
消費者, 57, 45
原告, 54, 16
銀行借款, 54, 48
出口, 51, 32
研究發展, 48, 36
聯邦, 45, 7
債務, 44, 36
信用風險, 42, 28
同意, 42, 17
驗證, 40, 11
市場需求, 39, 32
負擔, 37, 30
收購, 36, 2
程度, 36, 33
行銷, 33, 32
資金成本, 33, 31
歐盟, 32, 12
認證, 31, 21
購併, 30, 13
營運資金, 30, 26
IT, 30, 16
期貨, 30, 19
貸款, 29, 22
歐元, 29, 17
訂單, 28, 22
關係人, 28, 19
反托拉斯, 28, 3
內部控制, 26, 21
租稅, 25, 11
結合, 24, 21
訓練, 22, 18
遵守, 22, 21
減損, 21, 5
軟體, 20, 9
到期, 20, 17
專利權, 20, 12
循環, 19, 15
智慧財產, 18, 10
生產技術, 18, 17
資本支出, 17, 16
檢查, 17, 14
短缺, 16, 16
產製, 16, 14
人民幣, 16, 8
分配, 16, 10
電力, 15, 11
金屬, 15, 12
投資子公司, 15, 10
經銷商, 13, 10
人事, 13, 11
擴展, 13, 12
約定, 13, 11
強制執行, 13, 8
違約, 13, 8
住宅, 13, 9
單一客戶, 12, 11
貨幣政策, 12, 10
換匯, 12, 12
競爭者, 12, 8
高階主管, 11, 7
天然氣, 11, 8
管制, 11, 8
增值稅, 11, 3
金融風暴, 11, 10
商標, 10, 5
廢棄, 10, 9
套利, 10, 10
有價證券, 10, 4
日圓, 9, 8
擔保品, 9, 9
即期, 9, 9
經濟成長, 9, 9
商譽, 8, 6
重整, 8, 3
原油, 8, 7
證明, 8, 7
成本控制, 8, 8
股利, 8, 6
廣告, 7, 2
傷害, 7, 7
加計, 7, 7
網際網路, 7, 6
新建工程, 7, 7
產出, 7, 7
產品發展, 7, 6
國稅局, 6, 2
國稅, 6, 2
紅利, 6, 1
罰款, 6, 3
石油, 6, 5
礦石, 6, 2
能量, 6, 6
擴張, 6, 6
燃料, 6, 6
市價, 6, 6
黃金, 6, 6
產品組合, 6, 6
到期日, 6, 4
附屬, 6, 6
立法, 6, 6
企業文化, 6, 3
家庭, 6, 6
評等, 6, 5
設施, 5, 4
臨床試驗, 5, 3
採礦, 5, 1
石灰, 5, 2
證書, 5, 2
賠償金, 5, 5
人工成本, 4, 4
資訊技術, 4, 4
產業環境, 4, 4
國際財務報導準則, 4, 4
SARS, 4, 2
詐欺, 4, 2
不動產投資信託, 4, 4
商業化, 4, 2
計入, 4, 4
承銷, 4, 1
合資, 4, 3
高層, 4, 4
資訊科技, 4, 4
集中度, 3, 3
專利的, 3, 3
有害, 3, 3
不景氣, 3, 2
知名度, 3, 3
風險因素, 3, 3
規模經濟, 3, 3
等級, 3, 2
成長率, 3, 3
資產減損, 3, 1
產業景氣, 3, 3
稀釋, 3, 2
利益衝突, 2, 2
折扣, 2, 2
單一供應商, 2, 2
電氣, 2, 1
抵押, 2, 2
意外事故, 2, 2
季節性, 2, 2
替代品, 2, 2
營業稅, 2, 2
煤, 2, 2
中東, 2, 2
天然災害, 2, 2
市場接受度, 2, 2
課稅, 2, 2
資金狀況, 2, 2
吸收合併, 1, 1
臨床實驗, 1, 1
承保範圍, 1, 1
經營維持, 1, 1
消費品, 1, 1
稅金, 1, 1
價格壓力, 1, 1
訂貨, 1, 1
債信評等, 1, 1
政府政策, 1, 1
信用評等, 1, 1
營運損失, 1, 1
整治, 1, 1
唯一供應商, 1, 1
市場供給, 1, 1
遞延所得稅資產, 1, 1
家族, 1, 1
加值稅, 1, 1
礦業, 1, 1
氣象, 1, 1
汽油, 1, 1
產品性能, 1, 1
政局不穩, 1, 1
資產證券化, 1, 1
合資經營, 1, 1
舞弊, 1, 1
冗贅, 0, 0
顧客服務, 0, 0
一般狀況, 0, 0
加盟事業, 0, 0
特許加盟, 0, 0
跌破面值股票, 0, 0
用智力的, 0, 0
實施新方法的影響, 0, 0
專營權, 0, 0
確定給付退休金計畫, 0, 0
資產受損, 0, 0
勞資關係, 0, 0
反接收, 0, 0
經濟增長, 0, 0
匯報管理, 0, 0
新產品允收, 0, 0
亞洲危機, 0, 0
管理保留, 0, 0
有固定利息的情況, 0, 0
國內生產毛額, 0, 0
應允, 0, 0
知性的, 0, 0
限制變革, 0, 0
911, 0, 0
不利的仲裁, 0, 0
貨物稅, 0, 0
股票市場上市, 0, 0
商譽損害, 0, 0
經濟學, 0, 0
選擇權??, 0, 0
限制的環境, 0, 0
被限制的交易, 0, 0
電腦聯線, 0, 0
國稅局審查, 0, 0
持有人的, 0, 0
判例的強制性, 0, 0
聯合開發, 0, 0
稅捐機關, 0, 0
重要人員, 0, 0
戰爭, 0, 0
I.T., 0, 0
勞動關係, 0, 0
有限的貿易, 0, 0
不動產抵押證券, 0, 0
易變的收益, 0, 0
管制變革, 0, 0
單獨供應商, 0, 0
曝光度, 0, 0
互補品, 0, 0
投資機器設備, 0, 0
市場接受性, 0, 0
新的理財, 0, 0
所有權集中條款, 0, 0
過時, 0, 0
股票價格跌降, 0, 0
重議價, 0, 0
重構的實施, 0, 0
有智慧的, 0, 0
客戶集中度, 0, 0
有限的經營歷史, 0, 0
重組, 0, 0
遞延所得稅負債, 0, 0
管制變更, 0, 0
政府調查, 0, 0
伊拉克, 0, 0
政治氣候, 0, 0
投資租賃工廠設備, 0, 0
信息科技, 0, 0
長期借款的狀況, 0, 0
稅務審查, 0, 0
短期合營, 0, 0
單獨顧客, 0, 0
裁決的強制性, 0, 0
取捨權, 0, 0
工會執照, 0, 0
高階管理層, 0, 0
零股, 0, 0
貨幣瓦解, 0, 0
消費者集中度, 0, 0
營利化, 0, 0
波動性的銷售, 0, 0
規定改變, 0, 0
交貨，交割, 0, 0
籌資租賃, 0, 0
可能的重申, 0, 0
供應鏈合併效果, 0, 0
限制變更, 0, 0
運用資本, 0, 0
美國財務會計準則委員會48號公報, 0, 0
槓桿作用, 0, 0
不利的審判, 0, 0
禁運, 0, 0
經濟衰退, 0, 0
新的融資, 0, 0
汙染, 0, 0
重大缺失, 0, 0
主要人事, 0, 0
特殊目的機構, 0, 0
Sarbanes-Oxley 法案, 0, 0
折現, 0, 0
積壓訂貨, 0, 0
網路安全措施, 0, 0
盈虧互抵, 0, 0
加盟被授權者, 0, 0
稅務罰金, 0, 0
適當的安置, 0, 0
推銷, 0, 0
股票價格下降, 0, 0
安隆公司, 0, 0
產權減損, 0, 0
國稅局判決, 0, 0
過時工業, 0, 0
信用評級, 0, 0
避稅行為, 0, 0
足夠的配備職工, 0, 0
交換契約, 0, 0
降低保密等級, 0, 0
行政調查, 0, 0
消息報導, 0, 0
未處理的事務, 0, 0
工會選舉, 0, 0
集體訴訟?, 0, 0
空頭, 0, 0
補救, 0, 0
負的營運現金流量, 0, 0
管制批准, 0, 0
股票價格下跌, 0, 0
組織縮編, 0, 0
裁員, 0, 0
清償力, 0, 0
盧布, 0, 0
經濟條件, 0, 0
易變的權益實體, 0, 0
新的資金籌集, 0, 0
滯銷貨, 0, 0
獨家供應商, 0, 0
一般經濟狀況, 0, 0
新屋開工率, 0, 0
可能的重述, 0, 0
提供資金的狀況, 0, 0
備付所得稅, 0, 0
通貨瓦解, 0, 0
虧絀, 0, 0
波動性的收入, 0, 0
食品藥物管理局的批准, 0, 0
所有權人, 0, 0
管制改變, 0, 0
強制課稅, 0, 0
改良物, 0, 0
欠稅, 0, 0
滯銷品, 0, 0
沒有運轉, 0, 0
易變的營業結果, 0, 0
遠期契約, 0, 0
制衡作用, 0, 0
沙賓法案, 0, 0
改量, 0, 0
無形體的整合, 0, 0
特許權, 0, 0
降級, 0, 0
目前沒有運作, 0, 0
欠繳稅款, 0, 0
無現行作業, 0, 0
儲蓄, 0, 0
贅餘, 0, 0
規定批准, 0, 0
理性的, 0, 0
資本租賃, 0, 0
租約承諾, 0, 0
資金不足的養老金, 0, 0
所有物, 0, 0
左輪手槍, 0, 0
限制批准, 0, 0
幣值波動, 0, 0
稅務罰款, 0, 0
信貸評級, 0, 0
無形的整合, 0, 0
州稅, 0, 0
不利的判決, 0, 0
重編報表, 0, 0
適當的用人, 0, 0
解除管制, 0, 0
負債負擔, 0, 0
加害, 0, 0
限制改變, 0, 0
審判的強制性, 0, 0
高層管理, 0, 0
銀行債務, 0, 0
強制捐贈, 0, 0
會計估計的不確定性, 0, 0
新產品接受度, 0, 0
滯銷存貨, 0, 0
確定給付制, 0, 0
國稅局稽核, 0, 0
不利的裁決, 0, 0
政府認可, 0, 0
消費者信心, 0, 0
關鍵人員, 0, 0
行政批准, 0, 0
重構的實行, 0, 0
不易變現的市場, 0, 0
一般業務風險, 0, 0
沒有作業, 0, 0
維持期, 0, 0
準備率, 0, 0
一般條件, 0, 0
評價的強制性, 0, 0
規定變更, 0, 0
行政管制, 0, 0
波動性的營業成績, 0, 0
供應商罷工, 0, 0
退休後, 0, 0
經營特許權, 0, 0
組織內的銷售計畫, 0, 0
未了訴訟, 0, 0
所有權集中協定, 0, 0
挺率，財務槓桿作用, 0, 0
創立合併, 0, 0
新產品可接納性, 0, 0
內部人買賣, 0, 0
答應, 0, 0
稅務風險估列, 0, 0
市集, 0, 0
操作環境, 0, 0
限制認可, 0, 0
臨床前的, 0, 0
經濟不確定的狀況; 經濟疑慮, 0, 0
稅務稽查, 0, 0
勞工聯盟許可證, 0, 0
不利的評價, 0, 0
技術過時, 0, 0
國稅局審判, 0, 0
陳廢, 0, 0
服從, 0, 0
潛在訴訟, 0, 0
存貨過多, 0, 0
流動性；變現性, 0, 0
住宅動工指數, 0, 0
仲裁的強制性, 0, 0
催繳股款, 0, 0
融資租賃, 0, 0
新產品發展, 0, 0
投資附屬公司, 0, 0
財產稅, 0, 0
應納稅額, 0, 0
盲從, 0, 0
縮減規模, 0, 0
財政政策, 0, 0
分等, 0, 0
法規符合性, 0, 0
運行環境, 0, 0
詢問, 0, 0
降等, 0, 0
股票價格波動性, 0, 0
有限的買賣, 0, 0
建築工程合約著作權, 0, 0
恐怖主義, 0, 0
銀行負債, 0, 0
銷售生產性的資產, 0, 0
政府審查, 0, 0
再保險, 0, 0
查詢, 0, 0
規定認可, 0, 0
天氣, 0, 0
買賣權, 0, 0
出售有生產效益的資產, 0, 0
納稅義務, 0, 0
鎖在租賃期間, 0, 0
關稅制度, 0, 0
同化, 0, 0
管制認可, 0, 0
消費者支出, 0, 0
供應商共同合作, 0, 0
易變的銷售, 0, 0
遲延履約, 0, 0
依賴主要供應商, 0, 0
依賴主要客戶, 0, 0
熟悉內幕的銷售計畫, 0, 0
義務的貢獻, 0, 0
阿富汗, 0, 0
線上的, 0, 0
短少, 0, 0
命令的捐助, 0, 0
遠期交易, 0, 0
維護費, 0, 0
行政審查, 0, 0
重新集資金, 0, 0
債務負擔, 0, 0
內部銷售, 0, 0
所有者的, 0, 0
受管制的環境, 0, 0
產品責任, 0, 0
技術報廢, 0, 0
規定的環境, 0, 0
亞洲風暴, 0, 0
持續保有高階管理, 0, 0
國外匯兌, 0, 0
信貸措施, 0, 0
順從, 0, 0
配銷, 0, 0
非流動市場, 0, 0
所有人, 0, 0
盧比, 0, 0
抵押品, 0, 0
改組, 0, 0
消費稅, 0, 0
住房開工率, 0, 0
公共報導, 0, 0
磅, 0, 0
預約, 0, 0
超級基金, 0, 0
反壟斷, 0, 0
非現金的市場, 0, 0
重新借款, 0, 0
品牌認知, 0, 0
商譽減損, 0, 0
顧客集中度, 0, 0
礦物, 0, 0
知識份子, 0, 0
規定變革, 0, 0
勞工關係, 0, 0
稅務審計, 0, 0
總合需求, 0, 0
加州電力危機, 0, 0
報告控制, 0, 0
可能訴訟, 0, 0
獨佔的, 0, 0
不利的判例, 0, 0
強制出資, 0, 0
政治動亂, 0, 0
實施新標準的影響, 0, 0
定價能力, 0, 0
自然災害, 0, 0
稅率體系, 0, 0
勞動成本, 0, 0
知識的, 0, 0
比索, 0, 0
進貨過多, 0, 0
特殊目的公司, 0, 0
抵押貸款服務權, 0, 0
