word, tf, df
金, 3568, 1091
元, 1990, 651
產品, 1816, 653
匯率, 1764, 461
訴訟, 1518, 381
市場, 1231, 640
實, 1155, 620
膨脹, 877, 351
通貨膨脹, 853, 345
科技, 829, 455
集中, 794, 382
技術, 787, 338
價格, 694, 484
避險, 555, 320
需求, 520, 343
銀, 518, 270
生產, 505, 289
擴充, 504, 382
證券, 472, 316
外匯, 432, 252
併購, 428, 312
外幣, 415, 227
執行, 385, 239
借款, 384, 212
競爭, 366, 218
稅, 360, 102
專利, 344, 56
實質, 332, 272
美元, 311, 128
設備, 300, 158
維持, 285, 236
標的, 271, 226
經濟, 265, 159
原料, 242, 154
負債, 239, 130
美金, 229, 127
環境, 197, 138
油, 190, 98
安全, 190, 104
材料, 189, 108
外銷, 167, 119
消費, 161, 112
人員, 147, 115
衍生性金融商品, 146, 111
產能, 138, 85
損害, 127, 42
創新, 124, 88
責任, 118, 90
鋼, 114, 34
財務狀況, 112, 96
被告, 107, 29
圓, 103, 39
發行, 100, 71
品牌, 90, 54
合併, 89, 56
消費者, 87, 60
原告, 85, 27
銀行借款, 84, 75
信用風險, 81, 43
損害賠償, 81, 30
聯邦, 81, 13
市場需求, 75, 63
債務, 75, 60
程度, 74, 65
專利權, 71, 26
IT, 66, 31
行銷, 65, 58
內部控制, 63, 43
認證, 61, 40
出口, 60, 46
軟體, 58, 33
研究發展, 55, 46
貸款, 54, 32
歐元, 53, 33
驗證, 53, 24
同意, 52, 28
訂單, 51, 42
減損, 50, 13
結合, 49, 45
智慧財產, 48, 20
關係人, 45, 31
期貨, 45, 23
反托拉斯, 45, 6
遵守, 42, 42
營運資金, 42, 36
負擔, 41, 33
歐盟, 39, 16
產製, 39, 26
人民幣, 39, 13
到期, 36, 28
電力, 35, 27
訓練, 35, 28
資金成本, 35, 31
單一客戶, 32, 29
分配, 32, 18
擴展, 31, 28
資本支出, 31, 28
經銷商, 30, 18
家庭, 30, 20
循環, 29, 25
檢查, 29, 21
短缺, 27, 27
生產技術, 27, 26
廢棄, 26, 21
換匯, 25, 20
約定, 24, 16
購併, 23, 18
人事, 21, 16
原油, 21, 18
管制, 21, 16
違約, 20, 14
金屬, 19, 17
遞延所得稅資產, 19, 2
石灰, 19, 4
石油, 18, 17
日圓, 17, 9
貨幣政策, 17, 14
股利, 17, 13
經濟成長, 16, 12
