WordSeg Start At Time: Fri May 23 01:57:08 CST 2014
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/.DS_Store
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/.DS_Store
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/.DS_Store
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
※[Fri May 23 01:57:08 CST 2014]Error:Could Not Read File buffer/1301台塑.txt
