WordSeg Start At Time: Thu May 22 15:17:59 CST 2014
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
※[Thu May 22 15:17:59 CST 2014]Error:Could Not Read File buffer/1737臺鹽.txt
